Country Name,Country Code,Indicator Name,GDP_2012,GDP_per_capita_2012
Indonesia,IDN,GDP (current US$),9.18E+11,3694.348946
IDA only,IDX,GDP (current US$),8.86E+11,932.9598747
Isle of Man,IMN,GDP (current US$),6433357030,76104.68137
India,IND,GDP (current US$),1.83E+12,1443.879529
Not classified,INX,GDP (current US$),,
Ireland,IRL,GDP (current US$),2.25E+11,48945.98023
"Iran, Islamic Rep.",IRN,GDP (current US$),5.99E+11,7927.647542
Iraq,IRQ,GDP (current US$),2.18E+11,6836.027313
Iceland,ISL,GDP (current US$),14724078264,45910.0209
Israel,ISR,GDP (current US$),2.57E+11,32543.45515
Italy,ITA,GDP (current US$),2.07E+12,34814.12512
Jamaica,JAM,GDP (current US$),14798716216,5206.906722
Jordan,JOR,GDP (current US$),30966149506,3827.294451
Japan,JPN,GDP (current US$),6.20E+12,48603.47665
Kazakhstan,KAZ,GDP (current US$),2.08E+11,12386.7
Kenya,KEN,GDP (current US$),50412754861,1136.871406
Kyrgyz Republic,KGZ,GDP (current US$),6605139933,1177.974735
Cambodia,KHM,GDP (current US$),14054443213,950.880346
Kiribati,KIR,GDP (current US$),190243321.6,1788.505421
St. Kitts and Nevis,KNA,GDP (current US$),800392821.2,16044.11613
"Korea, Rep.",KOR,GDP (current US$),1.22E+12,24358.78218
Kuwait,KWT,GDP (current US$),1.74E+11,51978.99848
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),5.62E+12,9815.650853
Lao PDR,LAO,GDP (current US$),10191350120,1581.395403
Lebanon,LBN,GDP (current US$),44230727695,7985.854941
Liberia,LBR,GDP (current US$),2721000000,657.9362563
Libya,LBY,GDP (current US$),81873662519,13025.28139
St. Lucia,LCA,GDP (current US$),1437879370,8139.892046
Latin America & Caribbean,LCN,GDP (current US$),6.14E+12,10177.56297
Least developed countries: UN classification,LDC,GDP (current US$),8.25E+11,940.3088576
Low income,LIC,GDP (current US$),4.45E+11,733.2472295
Liechtenstein,LIE,GDP (current US$),5456009385,149010.2249
Sri Lanka,LKA,GDP (current US$),68434409315,3350.521876
Lower middle income,LMC,GDP (current US$),5.29E+12,1907.161615
Low & middle income,LMY,GDP (current US$),2.61E+13,4404.946735
Lesotho,LSO,GDP (current US$),2678475773,1329.274971
Late-demographic dividend,LTE,GDP (current US$),1.76E+13,7976.080385
Lithuania,LTU,GDP (current US$),42848195256,14341.18163
Luxembourg,LUX,GDP (current US$),56677961787,106749.0136
Latvia,LVA,GDP (current US$),28119996053,13822.80559
"Macao SAR, China",MAC,GDP (current US$),43031577366,76291.84749
St. Martin (French part),MAF,GDP (current US$),,
Morocco,MAR,GDP (current US$),98266306615,2912.658275
Monaco,MCO,GDP (current US$),5743029680,157515.8991
Moldova,MDA,GDP (current US$),8709165249,2446.725316
Madagascar,MDG,GDP (current US$),9919780071,443.9047493
Maldives,MDV,GDP (current US$),2886170572,7265.613656
Middle East & North Africa,MEA,GDP (current US$),3.58E+12,8895.135438
Mexico,MEX,GDP (current US$),1.20E+12,10241.72792
Marshall Islands,MHL,GDP (current US$),185210500,3265.520038
Middle income,MIC,GDP (current US$),2.56E+13,4823.533202
North Macedonia,MKD,GDP (current US$),9745251126,4698.141294
Mali,MLI,GDP (current US$),12442747897,778.6694625
Malta,MLT,GDP (current US$),9211948091,21931.74762
Myanmar,MMR,GDP (current US$),59937797559,1165.794329
Middle East & North Africa (excluding high income),MNA,GDP (current US$),1.73E+12,5010.581884
Montenegro,MNE,GDP (current US$),4087725813,6586.721279
Mongolia,MNG,GDP (current US$),12292770631,4351.88692
Northern Mariana Islands,MNP,GDP (current US$),751000000,13827.7697
Mozambique,MOZ,GDP (current US$),15265269711,613.984066
Mauritania,MRT,GDP (current US$),5231255478,1411.35283
Mauritius,MUS,GDP (current US$),11668685524,9291.227619
Malawi,MWI,GDP (current US$),6028487929,391.5618324
Malaysia,MYS,GDP (current US$),3.14E+11,10817.44287
North America,NAC,GDP (current US$),1.80E+13,51703.26734
Namibia,NAM,GDP (current US$),13016272899,5930.548473
New Caledonia,NCL,GDP (current US$),,
Niger,NER,GDP (current US$),6942258305,390.1199097
Nigeria,NGA,GDP (current US$),4.59E+11,2746.991789
Nicaragua,NIC,GDP (current US$),10532001130,1760.46057
Netherlands,NLD,GDP (current US$),8.39E+11,50073.00566
Norway,NOR,GDP (current US$),5.10E+11,101668.1707
Nepal,NPL,GDP (current US$),18851513891,698.4664794
Nauru,NRU,GDP (current US$),103837431.9,10101.90017
New Zealand,NZL,GDP (current US$),1.76E+11,39970.44004
OECD members,OED,GDP (current US$),4.80E+13,38185.85045
Oman,OMN,GDP (current US$),76689206762,21923.54802
